11096-82-5	Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl
56320-22-0	[S][As]=S
7784-34-1	Cl[As](Cl)Cl
63968-64-9	C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4
532-65-0	C[C@@H](CC(=O)C=C(C)C)c1ccc(C)cc1
12172-73-5	12172-73-5Did not work
12001-28-4	12001-28-4Did not work
50-81-7	OCC(O)C1OC(=C(O)C1=O)O
464-92-6	C[C@@H]1CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@@]34C)[C@@H]2[C@H]1C)C(O)=O
29838-67-3	C[C@@H]1O[C@@H](O[C@H]2[C@@H](Oc3cc(O)cc(O)c3C2=O)c4ccc(O)c(O)c4)[C@H](O)[C@H](O)[C@H]1O
29122-68-7	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
51-55-8	CN1C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3
34031-32-8	34031-32-8Did not work
38216-54-5	Oc1cc(O)c2C(=O)\C(Oc2c1)=C\c3ccc(O)c(O)c3
603-45-2	Oc1ccc(cc1)C(c2ccc(O)cc2)=C3C=CC(=O)C=C3
12192-57-3	[Au+].OC[C@H]1O[C@H]([S-])[C@H](O)[C@@H](O)[C@@H]1O
320-67-2	NC1=NC(=O)N(C=N1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O
446-86-6	Cn1cnc(c1Sc2ncnc3nc[nH]c23)[N+]([O-])=O
25843-45-2	C[N-][N+](C)=O
131860-33-8	CO\C=C(C(=O)OC)/c1ccccc1Oc2cc(Oc3ccccc3C#N)ncn2
1405-87-4	[Zn].CCC(C)C(N)C1=NC(CS1)C(=O)NC(CC(C)C)C(=O)NC(CCC(O)=O)C(=O)NC(C(C)CC)C(=O)NC2CCCCNC(=O)C(CC(N)=O)NC(=O)C(CC(O)=O)NC(=O)C(CC3C=NC=N3)NC(=O)C(Cc4ccccc4)NC(=O)C(NC(=O)C(CCCN)NC2=O)C(C)CC
88899-55-2	CO[C@H]1\C=C\C=C(/C)C[C@H](C)[C@H](O)[C@H](C)\C=C(C)\C=C(/OC)C(=O)O[C@@H]1[C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](O)[C@H](C)[C@H](O2)C(C)C
491-67-8	Oc1cc2OC(=CC(=O)c2c(O)c1O)c3ccccc3
21967-41-9	O[C@@H]1[C@@H](O)[C@@H](O[C@@H]([C@H]1O)C(O)=O)Oc2cc3OC(=CC(=O)c3c(O)c2O)c4ccccc4
10309-37-2	CC(C)=CCC[C@@](C)(C=C)\C=C\c1ccc(O)cc1
113558-15-9	COc1ccc(cc1)C2=C(O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)C(=O)c4c(O)cc(O)c(CC=C(C)C)c4O2
73348-75-1	73348-75-1Did not work
26048-05-5	CC(C)C1OC(=O)C(Cc2ccccc2)N(C)C(=O)C(OC(=O)C(Cc3ccccc3)N(C)C(=O)C(OC(=O)C(Cc4ccccc4)N(C)C1=O)C(C)C)C(C)C
4419-39-0	C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
86541-75-5	CCOC(=O)[C@H](CCc1ccccc1)N[C@H]2CCc3ccccc3N(CC(O)=O)C2=O
105979-17-7	COC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+]([O-])=O)C(=O)O[C@@H]3CCCN(C3)Cc4ccccc4)C
17804-35-2	CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12
22457-89-2	Cc1ncc(CN(C=O)C(/C)=C(/CCO[P](O)(O)=O)SC(=O)c2ccccc2)c(N)n1
56-55-3	c1ccc2cc3c(ccc4ccccc34)cc2c1
27208-38-4	NC(=O)c1ccccc1
3562-84-3	CCc1oc2ccccc2c1C(=O)c3cc(Br)c(O)c(Br)c3
71-43-2	c1ccccc1
13345-25-0	OC1C=Cc2c(cc3ccc4cccc5ccc2c3c45)C1O
65199-11-3	O=C1C=Cc2c3ccc4cccc5ccc(cc2C1=O)c3c45
205-99-2	c1ccc2c(c1)cc3c4ccccc4c5cccc2c35
195-19-7	c1ccc2c(c1)ccc3ccc4ccccc4c23
192-97-2	c1ccc2c(c1)c3cccc4ccc5cccc2c5c34
271-89-6	o1ccc2ccccc12
91-01-0	OC(c1ccccc1)c2ccccc2
207-08-9	c1ccc2cc3c4cccc5cccc(c3cc2c1)c45
119-61-9	O=C(c1ccccc1)c2ccccc2
11095-43-5	s1ccc2ccccc12
94-36-0	O=C(OOC(=O)c1ccccc1)c2ccccc2
622-78-6	S=C=NCc1ccccc1
478-61-5	COc1cc2CCN(C)[C@H]3Cc4ccc(Oc5cc(C[C@H]6N(C)CCc7cc(OC)c(OC)c(Oc1cc23)c67)ccc5O)cc4
477-90-7	COc1c(O)cc2C(=O)O[C@@H]3[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]3c2c1O
7787-49-7	[Be++].[F-].[F-]
7235-40-7	CC1=C(\C=C\C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)CCCC2(C)C)C(C)(C)CCC1
